team	players	description	reversed	nullified	week	scorer	timestamp	off-turnover	manual-adjustment	comments
STL	T.Austin	(15:00) (Shotgun) T.Austin left tackle for 16 yards, TOUCHDOWN.	FALSE	FALSE	1					
STL	N.Foles	(6:18) N.Foles scrambles right end for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
SEA	T.Austin+J.Ryan	(4:49) J.Ryan punts 57 yards to STL 25, Center-C.Gresham. T.Austin for 75 yards, TOUCHDOWN. Penalty on SEA-K.Pierre-Louis, Ineligible Downfield Kick, declined. The Replay Official reviewed the runner was in bounds ruling, and the play was Upheld. The ruling on the field stands.	FALSE	FALSE	1					
SEA	R.Wilson+J.Graham+A.Ogletree	(12:08) (Shotgun) R.Wilson pass short left to J.Graham for 7 yards, TOUCHDOWN [A.Ogletree].	FALSE	FALSE	1					
STL	C.Williams+N.Foles	(4:46) N.Foles sacked at STL 12 for -8 yards (C.Williams). FUMBLES (C.Williams), RECOVERED by SEA-C.Williams at STL 8. C.Williams for 8 yards, TOUCHDOWN.	FALSE	FALSE	1					
STL	N.Foles+L.Kendricks	(:59) (Shotgun) N.Foles pass deep left to L.Kendricks for 37 yards, TOUCHDOWN.	FALSE	FALSE	1					
CAR	G.Olsen	(8:49) C.Newton pass short left to G.Olsen for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on CAR-G.Olsen, Offensive Pass Interference, 10 yards, enforced at JAC 4 - No Play.	FALSE	TRUE	1					
CAR	C.Newton+J.Cotchery	(1:56) (Shotgun) C.Newton pass short middle to J.Cotchery for 7 yards, TOUCHDOWN.	FALSE	FALSE	1					
JAC	R.Greene+B.Bortles	(:18) (Shotgun) B.Bortles pass short left to R.Greene for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
JAC	T.Yeldon+B.Bortles+J.Norman	(9:08) (Shotgun) B.Bortles pass short right intended for T.Yeldon INTERCEPTED by J.Norman at JAC 30. J.Norman for 30 yards, TOUCHDOWN.	FALSE	FALSE	1					
WAS	K.Cousins+J.Reed	(1:54) (Shotgun) K.Cousins pass short left to J.Reed for 4 yards, TOUCHDOWN.	FALSE	FALSE	1					
MIA	R.Matthews+R.Tannehill	(:32) (Shotgun) R.Tannehill pass short right to R.Matthews for 3 yards, TOUCHDOWN.	FALSE	FALSE	1					
WAS	T.Way+J.Landry	(10:38) T.Way punts 54 yards to MIA 31, Center-N.Sundberg. J.Landry for 69 yards, TOUCHDOWN.	FALSE	FALSE	1					
BUF	T.Taylor+P.Harvin	(:09) T.Taylor pass deep right to P.Harvin for 51 yards, TOUCHDOWN. Caught at goal line.	FALSE	FALSE	1					
BUF	Ka.Williams	(:26) (No Huddle, Shotgun) Ka.Williams up the middle for 26 yards, TOUCHDOWN.	FALSE	FALSE	1					
BUF	M.Mulligan+L.McCoy	(11:36) L.McCoy right guard for 12 yards, TOUCHDOWN NULLIFIED by Penalty. Rush credited to IND 5 (spot of foul). PENALTY on BUF-M.Mulligan, Offensive Holding, 10 yards, enforced at IND 5.	FALSE	TRUE	1					
BUF	A.Dixon	(9:38) A.Dixon right guard for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
IND	A.Luck+D.Moncrief	(:57) (Shotgun) A.Luck pass short middle to D.Moncrief for 2 yards, TOUCHDOWN. Caught at goal line, crossing from right.	FALSE	FALSE	1					
IND	A.Luck+N.Bradham+D.Allen	(6:00) A.Luck pass short left to D.Allen for 6 yards, TOUCHDOWN [N.Bradham]. Caught at goal line, crossing from middle.	FALSE	FALSE	1					
CLE	J.Manziel+T.Benjamin	(11:08) (Shotgun) J.Manziel pass deep left to T.Benjamin for 54 yards, TOUCHDOWN.	FALSE	FALSE	1					
NYJ	B.Marshall+R.Fitzpatrick+C.Ivory	(9:53) (Shotgun) R.Fitzpatrick pass short left to C.Ivory for 9 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on NYJ-B.Marshall, Offensive Holding, 10 yards, enforced at CLE 0.	FALSE	TRUE	1					
NYJ	C.Ivory	(9:46) C.Ivory up the middle for 10 yards, TOUCHDOWN.	FALSE	FALSE	1					
NYJ	R.Fitzpatrick+E.Decker	(:49) (Shotgun) R.Fitzpatrick pass short middle to E.Decker for 15 yards, TOUCHDOWN.	FALSE	FALSE	1					
NYJ	R.Fitzpatrick+B.Marshall	(7:56) R.Fitzpatrick pass short right to B.Marshall for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
NYJ	C.Ivory	(10:38) C.Ivory right end for 3 yards, TOUCHDOWN.	FALSE	FALSE	1					
KC	A.Smith+T.Kelce	(10:27) A.Smith pass short middle to T.Kelce for 10 yards, TOUCHDOWN.	FALSE	FALSE	1					
KC	A.Smith+T.Kelce	(4:39) A.Smith pass short left to T.Kelce for 42 yards, TOUCHDOWN.	FALSE	FALSE	1					
HOU	B.Hoyer+D.Hopkins	(:51) (Shotgun) B.Hoyer pass short right to D.Hopkins for 4 yards, TOUCHDOWN.	FALSE	FALSE	1					
KC	A.Smith+J.Charles	(5:01) (Shotgun) A.Smith pass short left to J.Charles for 7 yards, TOUCHDOWN.	FALSE	FALSE	1					
HOU	R.Mallett+D.Hopkins	(4:16) (Shotgun) R.Mallett pass short right to D.Hopkins for 8 yards, TOUCHDOWN.	FALSE	FALSE	1					
ARI	C.Palmer+JO.Brown	(9:56) (Shotgun) C.Palmer pass short right to JO.Brown for 10 yards, TOUCHDOWN.	FALSE	FALSE	1					
ARI	A.Ellington	(11:10) A.Ellington up the middle for 1 yard, TOUCHDOWN. ARI #53 reported as eligible. The Replay Official reviewed the runner broke the plane ruling, and the play was Upheld. The ruling on the field stands.	FALSE	FALSE	1					
NO	D.Brees+B.Coleman	(5:23) D.Brees pass short left to B.Coleman for 12 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was Upheld. The ruling on the field stands.	FALSE	FALSE	1					
ARI	C.Palmer+D.Fells	(9:54) C.Palmer pass deep right to D.Fells for 17 yards, TOUCHDOWN.	FALSE	FALSE	1					
ARI	C.Palmer+D.Johnson	(1:44) (Shotgun) C.Palmer pass short right to D.Johnson for 55 yards, TOUCHDOWN.	FALSE	FALSE	1					
DET	A.Abdullah	(10:53) A.Abdullah up the middle for 24 yards, TOUCHDOWN.	FALSE	FALSE	1					
SD	P.Rivers+G.Quin+K.Allen	(12:37) P.Rivers pass short middle intended for K.Allen INTERCEPTED by G.Quin at SD 31. G.Quin for 31 yards, TOUCHDOWN.	FALSE	FALSE	1					
DET	M.Stafford+E.Ebron	(8:54) (Shotgun) M.Stafford pass deep middle to E.Ebron for 18 yards, TOUCHDOWN.	FALSE	FALSE	1					
SD	D.Woodhead	(5:07) (Shotgun) D.Woodhead up the middle for 9 yards, TOUCHDOWN.	FALSE	FALSE	1					
SD	P.Rivers+S.Johnson	(4:09) (Shotgun) P.Rivers pass short left to S.Johnson for 12 yards, TOUCHDOWN.	FALSE	FALSE	1					
SD	P.Rivers+L.Green	(11:53) (Shotgun) P.Rivers pass short middle to L.Green for 13 yards, TOUCHDOWN.	FALSE	FALSE	1					
SD	D.Woodhead	(2:37) (Shotgun) D.Woodhead up the middle for 1 yard, TOUCHDOWN.	FALSE	FALSE	1					
DET	T.Riddick+M.Stafford	(1:09) (Shotgun) M.Stafford pass short middle to T.Riddick for 21 yards, TOUCHDOWN. DET-B.Pettigrew was injured during the play.	FALSE	FALSE	1					
DEN	J.Smith+P.Manning+J.Norwood+K.Arrington	(14:13) (Shotgun) P.Manning pass short left intended for J.Norwood INTERCEPTED by J.Smith [K.Arrington] at DEN 24. J.Smith for 24 yards, TOUCHDOWN.	FALSE	FALSE	1					
BAL	A.Talib+J.Flacco+S.Smith	(:22) (Shotgun) J.Flacco pass short right intended for S.Smith INTERCEPTED by A.Talib at DEN 49. A.Talib for 51 yards, TOUCHDOWN.	FALSE	FALSE	1					
CIN	J.Hill	(7:21) J.Hill left end for 3 yards, TOUCHDOWN.	FALSE	FALSE	1					
CIN	J.Hill	(2:26) J.Hill up the middle for 2 yards, TOUCHDOWN.	FALSE	FALSE	1					
CIN	A.Dalton+T.Eifert	(:12) (Shotgun) A.Dalton pass short middle to T.Eifert for 13 yards, TOUCHDOWN.	FALSE	FALSE	1					
CIN	A.Dalton+T.Eifert	(3:45) (Shotgun) A.Dalton pass short left to T.Eifert for 8 yards, TOUCHDOWN.	FALSE	FALSE	1					
