week	home	away	start-time
1	CAR	DEN	2016-09-08T20:30:00-04:00
1	BUF	BAL	2016-09-11T13:00:00-04:00
1	CHI	HOU	2016-09-11T13:00:00-04:00
1	CIN	NYJ	2016-09-11T13:00:00-04:00
1	CLE	PHI	2016-09-11T13:00:00-04:00
1	GB	JAC	2016-09-11T13:00:00-04:00
1	MIN	TEN	2016-09-11T13:00:00-04:00
1	OAK	NO	2016-09-11T13:00:00-04:00
1	SD	KC	2016-09-11T13:00:00-04:00
1	TB	ATL	2016-09-11T13:00:00-04:00
1	MIA	SEA	2016-09-11T16:05:00-04:00
1	DET	IND	2016-09-11T16:25:00-04:00
1	NYG	DAL	2016-09-11T16:25:00-04:00
1	NE	ARI	2016-09-11T20:30:00-04:00
1	PIT	WAS	2016-09-12T19:10:00-04:00
1	LA	SF	2016-09-12T22:20:00-04:00
2	NYJ	BUF	2016-09-15T20:25:00-04:00
2	BAL	CLE	2016-09-18T13:00:00-04:00
2	CIN	PIT	2016-09-18T13:00:00-04:00
2	DAL	WAS	2016-09-18T13:00:00-04:00
2	KC	HOU	2016-09-18T13:00:00-04:00
2	MIA	NE	2016-09-18T13:00:00-04:00
2	NO	NYG	2016-09-18T13:00:00-04:00
2	SF	CAR	2016-09-18T13:00:00-04:00
2	TEN	DET	2016-09-18T13:00:00-04:00
2	SEA	LA	2016-09-18T16:05:00-04:00
2	TB	ARI	2016-09-18T16:05:00-04:00
2	ATL	OAK	2016-09-18T16:25:00-04:00
2	IND	DEN	2016-09-18T16:25:00-04:00
2	JAC	SD	2016-09-18T16:25:00-04:00
2	GB	MIN	2016-09-18T20:30:00-04:00
2	PHI	CHI	2016-09-19T20:30:00-04:00
3	HOU	NE	2016-09-22T20:25:00-04:00
3	ARI	BUF	2016-09-25T13:00:00-04:00
3	BAL	JAC	2016-09-25T13:00:00-04:00
3	CLE	MIA	2016-09-25T13:00:00-04:00
3	DEN	CIN	2016-09-25T13:00:00-04:00
3	DET	GB	2016-09-25T13:00:00-04:00
3	MIN	CAR	2016-09-25T13:00:00-04:00
3	OAK	TEN	2016-09-25T13:00:00-04:00
3	WAS	NYG	2016-09-25T13:00:00-04:00
3	LA	TB	2016-09-25T16:05:00-04:00
