week	home	away	start-time
1	SEA	GB	2014-09-05T00:30:00Z
1	ATL	NO	2014-09-07T17:00:00Z
1	CHI	BUF	2014-09-07T17:00:00Z
1	KC	TEN	2014-09-07T17:00:00Z
1	STL	MIN	2014-09-07T17:00:00Z
1	MIA	NE	2014-09-07T17:00:00Z
1	NYJ	OAK	2014-09-07T17:00:00Z
1	PHI	JAC	2014-09-07T17:00:00Z
1	PIT	CLE	2014-09-07T17:00:00Z
1	BAL	CIN	2014-09-07T17:00:00Z
1	HOU	WAS	2014-09-07T17:00:00Z
1	DAL	SF	2014-09-07T20:25:00Z
1	TB	CAR	2014-09-07T20:25:00Z
1	DEN	IND	2014-09-08T00:30:00Z
1	DET	NYG	2014-09-08T23:10:00Z
1	ARI	SD	2014-09-09T02:20:00Z
2	BAL	PIT	2014-09-12T00:25:00Z
2	BUF	MIA	2014-09-14T17:00:00Z
2	CIN	ATL	2014-09-14T17:00:00Z
2	CLE	NO	2014-09-14T17:00:00Z
2	TEN	DAL	2014-09-14T17:00:00Z
2	MIN	NE	2014-09-14T17:00:00Z
2	NYG	ARI	2014-09-14T17:00:00Z
2	WAS	JAC	2014-09-14T17:00:00Z
2	CAR	DET	2014-09-14T17:00:00Z
2	SD	SEA	2014-09-14T20:05:00Z
2	TB	STL	2014-09-14T20:05:00Z
2	DEN	KC	2014-09-14T20:25:00Z
2	GB	NYJ	2014-09-14T20:25:00Z
2	OAK	HOU	2014-09-14T20:25:00Z
2	SF	CHI	2014-09-15T00:30:00Z
2	IND	PHI	2014-09-16T00:30:00Z
3	ATL	TB	2014-09-19T00:25:00Z
3	BUF	SD	2014-09-21T17:00:00Z
3	CIN	TEN	2014-09-21T17:00:00Z
3	CLE	BAL	2014-09-21T17:00:00Z
3	DET	GB	2014-09-21T17:00:00Z
3	STL	DAL	2014-09-21T17:00:00Z
3	NE	OAK	2014-09-21T17:00:00Z
3	NO	MIN	2014-09-21T17:00:00Z
3	NYG	HOU	2014-09-21T17:00:00Z
3	PHI	WAS	2014-09-21T17:00:00Z
3	JAC	IND	2014-09-21T17:00:00Z
3	ARI	SF	2014-09-21T20:05:00Z
3	MIA	KC	2014-09-21T20:25:00Z
3	SEA	DEN	2014-09-21T20:25:00Z
3	CAR	PIT	2014-09-22T00:30:00Z
3	NYJ	CHI	2014-09-23T00:30:00Z
4	WAS	NYG	2014-09-26T00:25:00Z
4	CHI	GB	2014-09-28T17:00:00Z
4	IND	TEN	2014-09-28T17:00:00Z
4	OAK	MIA	2014-09-28T17:00:00Z
4	NYJ	DET	2014-09-28T17:00:00Z
4	PIT	TB	2014-09-28T17:00:00Z
4	BAL	CAR	2014-09-28T17:00:00Z
4	HOU	BUF	2014-09-28T17:00:00Z
4	SD	JAC	2014-09-28T20:05:00Z
4	MIN	ATL	2014-09-28T20:25:00Z
4	SF	PHI	2014-09-28T20:25:00Z
4	DAL	NO	2014-09-29T00:30:00Z
4	KC	NE	2014-09-30T00:30:00Z
5	GB	MIN	2014-10-03T00:25:00Z
5	DAL	HOU	2014-10-05T17:00:00Z
5	DET	BUF	2014-10-05T17:00:00Z
5	TEN	CLE	2014-10-05T17:00:00Z
5	IND	BAL	2014-10-05T17:00:00Z
5	NO	TB	2014-10-05T17:00:00Z
5	NYG	ATL	2014-10-05T17:00:00Z
5	PHI	STL	2014-10-05T17:00:00Z
5	CAR	CHI	2014-10-05T17:00:00Z
5	JAC	PIT	2014-10-05T17:00:00Z
5	DEN	ARI	2014-10-05T20:05:00Z
5	SD	NYJ	2014-10-05T20:25:00Z
5	SF	KC	2014-10-05T20:25:00Z
5	NE	CIN	2014-10-06T00:30:00Z
5	WAS	SEA	2014-10-07T00:30:00Z
6	HOU	IND	2014-10-10T00:25:00Z
6	ATL	CHI	2014-10-12T17:00:00Z
6	BUF	NE	2014-10-12T17:00:00Z
6	CIN	CAR	2014-10-12T17:00:00Z
6	CLE	PIT	2014-10-12T17:00:00Z
6	TEN	JAC	2014-10-12T17:00:00Z
6	MIA	GB	2014-10-12T17:00:00Z
