week	home	away	start-time
9	DAL	PHI	2015-11-09T01:30:00Z
9	SD	CHI	2015-11-10T01:30:00Z
10	NYJ	BUF	2015-11-13T01:25:00Z
10	GB	DET	2015-11-15T18:00:00Z
10	TB	DAL	2015-11-15T18:00:00Z
10	TEN	CAR	2015-11-15T18:00:00Z
10	STL	CHI	2015-11-15T18:00:00Z
10	WAS	NO	2015-11-15T18:00:00Z
10	PHI	MIA	2015-11-15T18:00:00Z
10	PIT	CLE	2015-11-15T18:00:00Z
10	BAL	JAC	2015-11-15T18:00:00Z
10	OAK	MIN	2015-11-15T21:05:00Z
10	NYG	NE	2015-11-15T21:25:00Z
10	DEN	KC	2015-11-15T21:25:00Z
10	SEA	ARI	2015-11-16T01:30:00Z
10	CIN	HOU	2015-11-17T01:30:00Z
11	JAC	TEN	2015-11-20T01:25:00Z
11	DET	OAK	2015-11-22T18:00:00Z
11	ATL	IND	2015-11-22T18:00:00Z
11	HOU	NYJ	2015-11-22T18:00:00Z
11	PHI	TB	2015-11-22T18:00:00Z
11	CHI	DEN	2015-11-22T18:00:00Z
11	MIN	GB	2015-11-22T18:00:00Z
11	BAL	STL	2015-11-22T18:00:00Z
11	MIA	DAL	2015-11-22T18:00:00Z
11	CAR	WAS	2015-11-22T18:00:00Z
11	ARI	CIN	2015-11-22T21:05:00Z
11	SEA	SF	2015-11-22T21:25:00Z
11	SD	KC	2015-11-23T01:30:00Z
11	NE	BUF	2015-11-24T01:30:00Z
12	DET	PHI	2015-11-26T17:30:00Z
12	DAL	CAR	2015-11-26T21:30:00Z
12	GB	CHI	2015-11-27T01:30:00Z
12	HOU	NO	2015-11-29T18:00:00Z
12	CIN	STL	2015-11-29T18:00:00Z
12	ATL	MIN	2015-11-29T18:00:00Z
12	WAS	NYG	2015-11-29T18:00:00Z
12	IND	TB	2015-11-29T18:00:00Z
12	KC	BUF	2015-11-29T18:00:00Z
12	TEN	OAK	2015-11-29T18:00:00Z
12	JAC	SD	2015-11-29T18:00:00Z
12	NYJ	MIA	2015-11-29T18:00:00Z
12	SF	ARI	2015-11-29T21:05:00Z
12	SEA	PIT	2015-11-29T21:25:00Z
12	DEN	NE	2015-11-30T01:30:00Z
12	CLE	BAL	2015-12-01T01:30:00Z
13	DET	GB	2015-12-04T01:25:00Z
13	NYG	NYJ	2015-12-06T18:00:00Z
13	STL	ARI	2015-12-06T18:00:00Z
13	TB	ATL	2015-12-06T18:00:00Z
13	NO	CAR	2015-12-06T18:00:00Z
13	MIN	SEA	2015-12-06T18:00:00Z
13	BUF	HOU	2015-12-06T18:00:00Z
13	MIA	BAL	2015-12-06T18:00:00Z
13	CLE	CIN	2015-12-06T18:00:00Z
13	TEN	JAC	2015-12-06T18:00:00Z
13	CHI	SF	2015-12-06T18:00:00Z
13	SD	DEN	2015-12-06T21:05:00Z
13	OAK	KC	2015-12-06T21:05:00Z
13	NE	PHI	2015-12-06T21:25:00Z
13	PIT	IND	2015-12-07T01:30:00Z
13	WAS	DAL	2015-12-08T01:30:00Z
14	ARI	MIN	2015-12-11T01:25:00Z
14	PHI	BUF	2015-12-13T18:00:00Z
14	CLE	SF	2015-12-13T18:00:00Z
14	STL	DET	2015-12-13T18:00:00Z
14	TB	NO	2015-12-13T18:00:00Z
14	NYJ	TEN	2015-12-13T18:00:00Z
14	CIN	PIT	2015-12-13T18:00:00Z
14	HOU	NE	2015-12-13T18:00:00Z
14	JAC	IND	2015-12-13T18:00:00Z
14	KC	SD	2015-12-13T18:00:00Z
14	CHI	WAS	2015-12-13T18:00:00Z
14	CAR	ATL	2015-12-13T18:00:00Z
14	DEN	OAK	2015-12-13T21:05:00Z
14	GB	DAL	2015-12-13T21:25:00Z
14	BAL	SEA	2015-12-14T01:30:00Z
14	MIA	NYG	2015-12-15T01:30:00Z
15	STL	TB	2015-12-18T01:25:00Z
15	DAL	NYJ	2015-12-20T01:25:00Z
15	MIN	CHI	2015-12-20T18:00:00Z
15	JAC	ATL	2015-12-20T18:00:00Z
15	IND	HOU	2015-12-20T18:00:00Z
15	PHI	ARI	2015-12-20T18:00:00Z
15	NYG	CAR	2015-12-20T18:00:00Z
15	NE	TEN	2015-12-20T18:00:00Z
15	WAS	BUF	2015-12-20T18:00:00Z
15	BAL	KC	2015-12-20T18:00:00Z
15	SEA	CLE	2015-12-20T21:05:00Z
15	OAK	GB	2015-12-20T21:05:00Z
15	PIT	DEN	2015-12-20T21:25:00Z
15	SD	MIA	2015-12-20T21:25:00Z
15	SF	CIN	2015-12-21T01:30:00Z
15	NO	DET	2015-12-22T01:30:00Z
16	OAK	SD	2015-12-25T01:25:00Z
16	PHI	WAS	2015-12-27T01:25:00Z
16	NYJ	NE	2015-12-27T18:00:00Z
16	TEN	HOU	2015-12-27T18:00:00Z
16	KC	CLE	2015-12-27T18:00:00Z
16	MIA	IND	2015-12-27T18:00:00Z
16	NO	JAC	2015-12-27T18:00:00Z
16	DET	SF	2015-12-27T18:00:00Z
16	BUF	DAL	2015-12-27T18:00:00Z
16	TB	CHI	2015-12-27T18:00:00Z
16	ATL	CAR	2015-12-27T18:00:00Z
16	MIN	NYG	2015-12-27T18:00:00Z
16	SEA	STL	2015-12-27T21:25:00Z
16	ARI	GB	2015-12-27T21:25:00Z
16	BAL	PIT	2015-12-28T01:30:00Z
16	DEN	CIN	2015-12-29T01:30:00Z
17	BUF	NYJ	2016-01-03T18:00:00Z
17	MIA	NE	2016-01-03T18:00:00Z
17	CAR	TB	2016-01-03T18:00:00Z
17	ATL	NO	2016-01-03T18:00:00Z
17	CIN	BAL	2016-01-03T18:00:00Z
17	CLE	PIT	2016-01-03T18:00:00Z
