t,value
1440882275,51/1783
1440882276,51/1783
1440882277,51/1783
1440882278,51/1783
1440882279,18/1945
1440882280,18/1945
1440882281,18/1945
1440882282,18/1945
1440882283,18/1945
1440882284,0
1440882285,0
1440882286,0
1440882287,0
1440882288,0
1440882289,0
1440882290,0
1440882291,0
1440882292,0
1440882293,0
1440882294,3479/7061
1440882295,3479/7061
1440882296,3479/7061
1440882297,3479/7061
1440882298,3479/7061
1440882299,600/3193
1440882300,600/3193
1440882301,600/3193
1440882302,600/3193
1440882303,600/3193
1440882304,20/609
1440882305,20/609
1440882306,20/609
1440882307,20/609
1440882308,20/609
1440882309,0
1440882310,0
1440882311,0
1440882312,0
1440882313,0
1440882314,13/1364
1440882315,13/1364
1440882316,13/1364
1440882317,13/1364
1440882318,13/1364
1440882319,21/769
1440882320,21/769
1440882321,21/769
1440882322,21/769
1440882323,21/769
1440882324,0
1440882325,0
1440882326,0
1440882327,0
1440882328,0
1440882329,12/1177
1440882330,12/1177
1440882331,12/1177
1440882332,12/1177
1440882333,12/1177
1440882334,11/1339
1440882335,11/1339
1440882336,11/1339
1440882337,11/1339
1440882338,11/1339
1440882339,2/117
1440882340,2/117
1440882341,2/117
1440882342,2/117
1440882343,2/117
1440882344,6/221
1440882345,6/221
1440882346,6/221
1440882347,6/221
1440882348,6/221
1440882349,22/2553
1440882350,22/2553
1440882351,22/2553
1440882352,22/2553
1440882353,22/2553
1440882354,0
1440882355,0
1440882356,0
1440882357,0
1440882358,0
1440882359,28/1133
1440882360,28/1133
1440882361,28/1133
1440882362,28/1133
1440882363,28/1133
1440882364,168/4541
1440882365,168/4541
1440882366,168/4541
1440882367,168/4541
1440882368,168/4541
1440882369,0
1440882370,0
1440882371,0
1440882372,0
1440882373,0
1440882374,0
1440882375,0
1440882376,0
1440882377,0
1440882378,0
1440882379,32/629
1440882380,32/629
1440882381,32/629
1440882382,32/629
1440882383,32/629
1440882384,29/1383
1440882385,29/1383
1440882386,29/1383
1440882387,29/1383
1440882388,29/1383
1440882389,39/1967
1440882390,39/1967
1440882391,39/1967
1440882392,39/1967
1440882393,39/1967
1440882394,0
1440882395,0
1440882396,0
1440882397,0
1440882398,0
1440882399,7/776
1440882400,7/776
1440882401,7/776
1440882402,7/776
1440882403,7/776
1440882404,34/1949
1440882405,34/1949
1440882406,34/1949
1440882407,34/1949
1440882408,34/1949
1440882409,2/225
1440882410,2/225
1440882411,2/225
1440882412,2/225
1440882413,2/225
1440882414,29/3259
1440882415,29/3259
1440882416,29/3259
1440882417,29/3259
1440882418,29/3259
1440882419,4/219
1440882420,4/219
1440882421,4/219
1440882422,4/219
1440882423,4/219
1440882424,33/3332
1440882425,33/3332
1440882426,33/3332
1440882427,33/3332
1440882428,33/3332
1440882429,0
1440882430,0
1440882431,0
1440882432,0
1440882433,0
1440882434,22/533
1440882435,22/533
1440882436,22/533
1440882437,22/533
1440882438,22/533
1440882439,48/1057
1440882440,48/1057
1440882441,48/1057
1440882442,48/1057
1440882443,48/1057
1440882444,0
1440882445,0
1440882446,0
1440882447,0
1440882448,0
1440882449,0
1440882450,0
1440882451,0
1440882452,0
1440882453,0
1440882454,7/733
1440882455,7/733
1440882456,7/733
1440882457,7/733
1440882458,7/733
1440882459,12/1097
1440882460,12/1097
1440882461,12/1097
1440882462,12/1097
1440882463,12/1097
1440882464,9/392
1440882465,9/392
1440882466,9/392
1440882467,9/392
1440882468,9/392
1440882469,14/1247
1440882470,14/1247
1440882471,14/1247
1440882472,14/1247
1440882473,14/1247
1440882474,0
1440882475,0
1440882476,0
1440882477,0
1440882478,0
1440882479,12/1199
1440882480,12/1199
1440882481,12/1199
1440882482,12/1199
1440882483,12/1199
1440882484,8/879
1440882485,8/879
1440882486,8/879
1440882487,8/879
1440882488,8/879
1440882489,0
1440882490,0
1440882491,0
1440882492,0
1440882493,0
1440882494,18/1543
1440882495,18/1543
1440882496,18/1543
1440882497,18/1543
1440882498,18/1543
1440882499,96/3217
1440882500,96/3217
1440882501,96/3217
1440882502,96/3217
1440882503,96/3217
1440882504,7/711
1440882505,7/711
1440882506,7/711
1440882507,7/711
1440882508,7/711
1440882509,17/1739
1440882510,17/1739
1440882511,17/1739
1440882512,17/1739
1440882513,17/1739
1440882514,34/1617
1440882515,34/1617
1440882517,34/1617
1440882517,34/1617
1440882518,34/1617
1440882519,13/1395
1440882520,13/1395
1440882521,13/1395
1440882522,13/1395
1440882523,13/1395
1440882524,0
1440882525,0
1440882526,0
1440882527,0
1440882528,0
1440882529,30/1007
1440882530,30/1007
1440882531,30/1007
1440882532,30/1007
1440882533,30/1007
1440882534,28/1503
1440882535,28/1503
1440882536,28/1503
1440882537,28/1503
1440882538,28/1503
1440882539,8/417
1440882540,8/417
1440882541,8/417
1440882542,8/417
1440882543,8/417
1440882544,0
1440882545,0
1440882546,0
1440882547,0
1440882548,0
1440882549,0
1440882550,1/41
1440882551,1/41
1440882552,1/41
1440882553,1/41
1440882554,1/41
1440882555,15/872
1440882556,15/872
1440882557,15/872
1440882558,15/872
1440882559,15/872
1440882560,2/107
1440882561,2/107
1440882562,2/107
1440882563,2/107
1440882564,2/107
1440882565,12/1397
1440882566,12/1397
1440882567,12/1397
1440882568,12/1397
1440882569,12/1397
1440882570,39/1564
1440882571,39/1564
1440882572,39/1564
1440882573,39/1564
1440882574,39/1564
1440882575,10/909
1440882576,10/909
1440882577,10/909
1440882578,10/909
1440882579,10/909
1440882580,0
1440882581,0
1440882582,0
1440882583,0
1440882584,0
1440882585,0
1440882586,0
1440882587,0
1440882588,0
1440882589,0
1440882590,76/1949
1440882591,76/1949
1440882592,76/1949
1440882593,76/1949
1440882594,76/1949
1440882595,0
1440882596,0
1440882597,0
1440882598,0
1440882599,0
1440882600,18/1429
1440882601,18/1429
1440882602,18/1429
1440882603,18/1429
1440882604,18/1429
1440882605,29/562
1440882606,29/562
1440882607,29/562
1440882608,29/562
1440882609,29/562
1440882610,0
1440882611,0
1440882612,0
1440882613,0
1440882614,0
1440882615,13/1270
1440882616,13/1270
1440882617,13/1270
1440882618,13/1270
1440882619,13/1270
1440882620,33/955
1440882621,33/955
1440882622,33/955
1440882623,33/955
1440882624,33/955
1440882625,78/2479
1440882626,78/2479
1440882627,78/2479
1440882628,78/2479
1440882629,78/2479
1440882630,96/2279
1440882631,96/2279
1440882632,96/2279
1440882633,96/2279
1440882634,96/2279
1440882635,15/697
1440882636,15/697
1440882637,15/697
1440882638,15/697
1440882639,15/697
1440882640,88/1849
1440882641,88/1849
1440882642,88/1849
1440882643,88/1849
1440882644,88/1849
1440882645,0
1440882646,0
1440882647,0
1440882648,0
1440882649,0
1440882650,54/2087
1440882651,54/2087
1440882652,54/2087
1440882653,54/2087
1440882654,54/2087
1440882655,30/1117
1440882656,30/1117
1440882657,30/1117
1440882658,30/1117
1440882659,30/1117
1440882660,15/466
1440882661,15/466
1440882662,15/466
1440882663,15/466
1440882664,15/466
1440882665,120/2717
1440882666,120/2717
1440882667,120/2717
1440882668,120/2717
1440882669,120/2717
1440882670,3/280
1440882671,3/280
1440882672,3/280
1440882673,3/280
1440882674,3/280
1440882675,0
1440882676,0
1440882677,0
1440882678,0
1440882679,0
1440882680,0
1440882681,0
1440882682,0
1440882683,0
1440882684,0
1440882685,0
1440882686,0
1440882687,0
1440882688,0
1440882689,0
1440882690,26/2591
1440882691,26/2591
1440882692,26/2591
1440882693,26/2591
1440882694,26/2591
1440882695,15/1867
1440882696,15/1867
1440882697,15/1867
1440882698,15/1867
1440882699,15/1867
1440882700,1/128
1440882701,1/128
1440882702,1/128
1440882703,1/128
1440882704,1/128
1440882705,38/2099
1440882706,38/2099
1440882707,38/2099
1440882708,38/2099
1440882709,38/2099
1440882710,62/3059
1440882711,62/3059
1440882712,62/3059
1440882713,62/3059
1440882714,62/3059
1440882715,16/1589
1440882716,16/1589
1440882717,16/1589
1440882718,16/1589
1440882719,16/1589
1440882720,64/2987
1440882721,64/2987
1440882722,64/2987
1440882723,64/2987
1440882724,64/2987
1440882725,2/107
1440882726,2/107
1440882727,2/107
1440882728,2/107
1440882729,2/107
1440882730,0
1440882731,0
1440882732,0
1440882733,0
1440882734,0
1440882735,3/286
1440882736,3/286
1440882737,3/286
1440882738,3/286
1440882739,3/286
1440882740,27/2681
1440882741,27/2681
1440882742,27/2681
1440882743,27/2681
1440882744,27/2681
1440882745,0
1440882746,0
1440882747,0
1440882748,0
1440882749,0
1440882750,28/1503
1440882751,28/1503
1440882752,28/1503
1440882753,28/1503
1440882754,28/1503
1440882755,32/1811
1440882756,32/1811
1440882757,32/1811
1440882758,32/1811
1440882759,32/1811
1440882760,13/1376
1440882761,13/1376
1440882762,13/1376
1440882763,13/1376
1440882764,13/1376
1440882765,11/1311
1440882766,11/1311
1440882767,11/1311
1440882768,11/1311
1440882769,11/1311
1440882770,17/875
1440882771,17/875
1440882772,17/875
1440882773,17/875
1440882774,17/875
1440882775,29/2796
1440882776,29/2796
1440882777,29/2796
1440882778,29/2796
1440882779,29/2796
1440882780,0
1440882781,0
1440882782,0
1440882783,0
1440882784,0
1440882785,7/716
1440882786,7/716
1440882787,7/716
1440882788,7/716
1440882789,7/716
1440882790,0
1440882791,0
1440882792,0
1440882793,0
1440882794,0
1440882795,23/1099
1440882796,23/1099
1440882797,23/1099
1440882798,23/1099
1440882799,23/1099
1440882800,23/2544
1440882801,23/2544
1440882802,23/2544
1440882803,23/2544
1440882804,23/2544
1440882805,3/274
1440882806,3/274
1440882807,3/274
1440882808,3/274
1440882809,3/274
1440882810,13/660
1440882811,13/660
1440882812,13/660
1440882813,13/660
1440882814,13/660
1440882815,1/100
1440882816,1/100
1440882817,1/100
1440882818,1/100
1440882819,1/100
1440882820,23/2381
1440882821,23/2381
1440882822,23/2381
1440882823,23/2381
1440882824,23/2381
1440882825,0
1440882826,0
1440882827,0
1440882828,0
1440882829,0
1440882830,48/2543
1440882831,48/2543
1440882832,48/2543
1440882833,48/2543
1440882834,48/2543
1440882835,18/2261
1440882836,18/2261
1440882837,18/2261
1440882838,18/2261
1440882839,18/2261
1440882840,0
1440882841,0
1440882842,0
1440882843,0
1440882844,0
1440882845,9/833
1440882846,9/833
1440882847,9/833
1440882848,9/833
1440882849,9/833
1440882850,23/2529
1440882851,23/2529
1440882852,23/2529
1440882853,23/2529
1440882854,23/2529
1440882855,0
1440882856,0
1440882857,0
1440882858,0
1440882859,0
1440882860,9/1051
1440882861,9/1051
1440882862,9/1051
1440882863,9/1051
1440882864,9/1051
1440882865,0
1440882866,0
1440882867,0
1440882868,0
1440882869,0
1440882870,22/2445
1440882871,22/2445
1440882872,22/2445
1440882873,22/2445
1440882874,22/2445
1440882875,0
1440882876,0
1440882877,0
1440882878,0
1440882879,0
1440882880,78/3943
1440882881,78/3943
1440882882,78/3943
1440882883,78/3943
1440882884,78/3943
1440882885,22/2357
1440882886,22/2357
1440882887,22/2357
1440882888,22/2357
1440882889,22/2357
1440882890,31/1573
1440882891,31/1573
1440882892,31/1573
1440882893,31/1573
1440882894,31/1573
1440882895,0
1440882896,0
1440882897,0
1440882898,0
1440882899,0
1440882900,25/2737
1440882901,25/2737
1440882902,25/2737
1440882903,25/2737
1440882904,25/2737
1440882905,0
1440882906,0
1440882907,0
1440882908,0
1440882909,0
1440882910,0
1440882911,0
1440882912,0
1440882913,0
1440882914,0
1440882915,0
1440882916,0
1440882917,0
1440882918,0
1440882919,0
1440882920,15/1729
1440882921,15/1729
1440882922,15/1729
1440882923,15/1729
1440882924,15/1729
1440882925,87/3119
1440882926,87/3119
1440882927,87/3119
1440882928,87/3119
1440882929,87/3119
1440882930,7/815
1440882931,7/815
1440882932,7/815
1440882933,7/815
1440882934,7/815
1440882935,96/3743
1440882936,96/3743
1440882937,96/3743
1440882938,96/3743
1440882939,96/3743
1440882940,0
1440882941,0
1440882942,0
1440882943,0
1440882944,0
1440882945,38/1973
1440882946,38/1973
1440882947,38/1973
1440882948,38/1973
1440882949,38/1973
1440882950,0
1440882951,0
1440882952,0
1440882953,0
1440882954,0
1440882955,3/326
1440882956,3/326
1440882957,3/326
1440882958,3/326
1440882959,3/326
1440882960,21/974
1440882961,21/974
1440882962,21/974
1440882963,21/974
1440882964,21/974
1440882965,0
1440882966,0
1440882967,0
1440882968,0
1440882969,0
1440882970,18/1829
1440882971,18/1829
1440882972,18/1829
1440882973,18/1829
1440882974,18/1829
1440882975,0
1440882976,0
1440882977,0
1440882978,0
1440882979,0
1440882980,3/292
1440882981,3/292
1440882982,3/292
1440882983,3/292
1440882984,3/292
1440882985,0
1440882986,0
1440882987,0
1440882988,0
1440882989,0
1440882990,19/704
1440882991,19/704
1440882992,19/704
1440882993,19/704
1440882994,19/704
1440882995,0
1440882996,0
1440882997,0
1440882998,0
1440882999,0
1440883000,38/1963
1440883001,38/1963
1440883002,38/1963
1440883003,38/1963
1440883004,38/1963
1440883005,0
1440883006,0
1440883007,0
1440883008,0
1440883009,0
1440883010,5/569
1440883011,5/569
1440883012,5/569
1440883013,5/569
1440883014,5/569
1440883015,0
1440883016,0
1440883017,0
1440883018,0
1440883019,0
1440883020,18/929
1440883021,18/929
1440883022,18/929
1440883023,18/929
1440883024,18/929
1440883025,6/215
1440883026,6/215
1440883027,6/215
1440883028,6/215
1440883029,6/215
1440883030,0
1440883031,0
1440883032,0
1440883033,0
1440883034,0
1440883035,100/2517
1440883036,100/2517
1440883037,100/2517
1440883038,100/2517
1440883039,100/2517
1440883040,22/2029
1440883041,22/2029
1440883042,22/2029
1440883043,22/2029
1440883044,22/2029
1440883045,46/2457
1440883046,46/2457
1440883047,46/2457
1440883048,46/2457
1440883049,46/2457
1440883050,35/4208
1440883051,35/4208
1440883052,35/4208
1440883053,35/4208
1440883054,35/4208
1440883055,58/2985
1440883056,58/2985
1440883057,58/2985
1440883058,58/2985
1440883059,58/2985
1440883060,3/50
1440883061,3/50
1440883062,3/50
1440883063,3/50
1440883064,3/50
1440883065,0
1440883066,0
1440883067,0
1440883068,0
1440883069,0
1440883070,2/213
1440883071,2/213
1440883072,2/213
1440883073,2/213
1440883074,2/213
1440883075,27/1577
1440883076,27/1577
1440883077,27/1577
1440883078,27/1577
1440883079,27/1577
1440883080,24/2543
1440883081,24/2543
1440883082,24/2543
1440883083,24/2543
1440883084,24/2543
1440883085,0
1440883086,0
1440883087,0
1440883088,0
1440883089,0
1440883090,0
1440883091,0
1440883092,0
1440883093,0
1440883094,0
1440883095,6/287
1440883096,6/287
1440883097,6/287
1440883098,6/287
1440883099,6/287
1440883100,0
1440883101,0
1440883102,0
1440883103,0
1440883104,0
1440883105,0
1440883106,0
1440883107,0
1440883108,0
1440883109,0
1440883110,0
1440883111,0
1440883112,0
1440883113,0
1440883114,0
1440883115,0
1440883116,0
1440883117,0
1440883118,0
1440883119,0
1440883120,15/1502
1440883121,15/1502
1440883122,15/1502
1440883123,15/1502
1440883124,15/1502
1440883125,0
1440883126,0
1440883127,0
1440883128,0
1440883129,0
1440883130,3/332
1440883131,3/332
1440883132,3/332
1440883133,3/332
1440883134,3/332
1440883135,15/1747
1440883136,15/1747
1440883137,15/1747
1440883138,15/1747
1440883139,15/1747
1440883140,0
1440883141,0
1440883142,0
1440883143,0
1440883144,0
1440883145,13/1193
1440883146,13/1193
1440883147,13/1193
1440883148,13/1193
1440883149,13/1193
1440883150,0
1440883151,0
1440883152,0
1440883153,0
1440883154,0
1440883155,0
1440883156,0
1440883157,0
1440883158,0
1440883159,0
1440883160,13/1405
1440883161,13/1405
1440883162,13/1405
1440883163,13/1405
1440883164,13/1405
1440883165,5/548
1440883166,5/548
1440883167,5/548
1440883168,5/548
1440883169,5/548
1440883170,0
1440883171,0
1440883172,0
1440883173,0
1440883174,0
1440883175,29/3047
1440883176,29/3047
1440883177,29/3047
1440883178,29/3047
1440883179,29/3047
1440883180,0
1440883181,0
1440883182,0
1440883183,0
1440883184,0
1440883185,13/591
1440883186,13/591
1440883187,13/591
1440883188,13/591
1440883189,13/591
1440883190,17/1747
1440883191,17/1747
1440883192,17/1747
1440883193,17/1747
1440883194,17/1747
1440883195,17/1747
1440883196,0
1440883197,0
1440883198,0
1440883199,0
1440883200,0
1440883201,0
1440883202,0
1440883203,0
1440883204,0
1440883205,0
1440883206,0
1440883207,0
1440883208,0
1440883209,0
1440883210,0
1440883211,0
1440883212,0
1440883213,0
1440883214,0
