t,value
1440888472,33/1174
1440888473,0
1440888474,0
1440888475,0
1440888476,0
1440888477,0
1440888478,16/1607
1440888479,16/1607
1440888480,16/1607
1440888481,16/1607
1440888482,16/1607
1440888483,0
1440888484,0
1440888485,0
1440888486,0
1440888487,0
1440888488,0
1440888489,0
1440888490,0
1440888491,0
1440888492,0
1440888493,16/1563
1440888494,16/1563
1440888495,16/1563
1440888496,16/1563
1440888497,16/1563
1440888498,20/1287
1440888499,20/1287
1440888500,20/1287
1440888501,20/1287
1440888502,20/1287
1440888503,0
1440888504,0
1440888505,0
1440888506,0
1440888507,0
1440888508,0
1440888509,0
1440888510,0
1440888511,0
1440888512,0
1440888513,13/1013
1440888514,13/1013
1440888515,13/1013
1440888516,13/1013
1440888517,13/1013
1440888518,0
1440888519,0
1440888520,0
1440888521,0
1440888522,0
1440888523,1/81
1440888524,1/81
1440888525,1/81
1440888526,1/81
1440888527,1/81
1440888528,0
1440888529,0
1440888530,0
1440888531,0
1440888532,0
1440888533,2/135
1440888534,2/135
1440888535,2/135
1440888536,2/135
1440888537,2/135
1440888538,0
1440888539,0
1440888540,0
1440888541,0
1440888542,0
1440888543,0
1440888544,0
1440888545,0
1440888546,0
1440888547,0
1440888548,0
1440888549,0
1440888550,0
1440888551,0
1440888552,0
1440888553,9/746
1440888554,9/746
1440888555,9/746
1440888556,9/746
1440888557,9/746
1440888558,2/221
1440888559,2/221
1440888560,2/221
1440888561,2/221
1440888562,2/221
1440888563,0
1440888564,0
1440888565,0
1440888566,0
1440888567,0
1440888568,8/727
1440888569,8/727
1440888570,8/727
1440888571,8/727
1440888572,8/727
1440888573,0
1440888574,0
1440888575,0
1440888576,0
1440888577,0
1440888578,0
1440888579,0
1440888580,0
1440888581,0
1440888582,0
1440888583,0
1440888584,0
1440888585,0
1440888586,0
1440888587,0
1440888588,0
1440888589,0
1440888590,0
1440888591,0
1440888592,0
1440888593,3/164
1440888594,3/164
1440888595,3/164
1440888596,3/164
1440888597,3/164
1440888598,52/2425
1440888599,52/2425
1440888600,52/2425
1440888601,52/2425
1440888602,52/2425
1440888603,13/1481
1440888604,13/1481
1440888605,13/1481
1440888606,13/1481
1440888607,13/1481
1440888608,9/899
1440888609,9/899
1440888610,9/899
1440888611,9/899
1440888612,9/899
1440888613,0
1440888614,0
1440888615,0
1440888616,0
1440888617,0
1440888618,31/2967
1440888619,31/2967
1440888620,31/2967
1440888621,31/2967
1440888622,31/2967
1440888623,0
1440888624,0
1440888625,0
1440888626,0
1440888627,0
1440888628,0
1440888629,0
1440888630,0
1440888631,0
1440888632,0
1440888633,0
1440888634,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888649,0
1440888650,0
1440888651,0
1440888657,0
1440888657,0
1440888657,0
1440888657,0
1440888657,0
1440888657,0
1440888658,0
1440888659,0
1440888665,0
1440888665,0
1440888665,0
1440888665,0
1440888665,0
1440888665,0
1440888666,0
1440888667,0
1440888672,0
1440888672,0
1440888672,21/1931
1440888672,21/1931
1440888672,21/1931
1440888673,21/1931
1440888674,21/1931
1440888680,21/1931
1440888680,8/745
1440888680,8/745
1440888680,8/745
1440888680,8/745
1440888680,8/745
1440888681,8/745
1440888687,8/745
1440888687,8/745
1440888687,13/1369
1440888687,13/1369
1440888687,13/1369
1440888687,13/1369
1440888688,13/1369
1440888689,13/1369
1440888695,13/1369
1440888695,13/1369
1440888695,0
1440888695,0
1440888695,0
1440888695,0
1440888696,0
1440888697,0
1440888702,0
1440888702,0
1440888702,2/173
1440888702,2/173
1440888702,2/173
1440888703,2/173
1440888704,2/173
1440888710,2/173
1440888710,2/173
1440888710,0
1440888710,0
1440888710,0
1440888710,0
1440888711,0
1440888712,0
1440888719,0
1440888719,0
1440888719,0
1440888719,0
1440888719,0
1440888719,0
1440888719,5/274
1440888720,5/274
1440888721,5/274
1440888727,5/274
1440888727,5/274
1440888727,0
1440888727,0
1440888727,0
1440888727,0
1440888728,0
1440888729,0
1440888734,0
1440888734,0
1440888734,0
1440888734,0
1440888734,0
1440888735,0
1440888736,0
1440888742,0
1440888742,0
1440888742,0
1440888742,0
1440888742,0
1440888742,0
1440888743,0
1440888744,0
1440888751,0
1440888751,0
1440888751,0
1440888751,0
1440888751,0
1440888751,0
1440888751,0
1440888752,0
1440888753,0
1440888760,0
1440888760,0
1440888760,0
1440888760,0
1440888760,0
1440888760,0
1440888760,0
1440888761,0
1440888762,0
1440888768,0
1440888768,0
1440888768,0
1440888768,0
1440888768,0
1440888768,0
1440888769,0
1440888770,0
1440888776,0
1440888776,0
1440888776,0
1440888776,0
1440888776,0
1440888776,0
1440888777,0
1440888783,0
1440888783,0
1440888783,0
1440888783,0
1440888783,0
1440888783,0
1440888784,0
1440888785,0
1440888790,0
1440888790,0
1440888790,0
1440888790,0
1440888790,0
1440888791,0
1440888792,0
1440888798,0
1440888798,0
1440888798,8/691
1440888798,8/691
1440888798,8/691
1440888798,8/691
1440888799,8/691
1440888805,8/691
1440888805,8/691
1440888805,0
1440888805,0
1440888805,0
1440888805,0
1440888806,0
1440888807,0
1440888814,0
1440888814,0
1440888814,1/114
1440888814,1/114
1440888814,1/114
1440888814,1/114
1440888814,1/114
1440888815,1/114
1440888816,1/114
1440888821,1/114
1440888821,1/114
1440888821,0
1440888821,0
1440888821,0
1440888822,0
1440888823,0
1440888829,0
1440888829,0
1440888829,0
1440888829,0
1440888829,0
1440888829,0
1440888830,0
1440888831,0
1440888837,0
1440888837,0
1440888837,0
1440888837,0
1440888837,0
1440888837,0
1440888838,0
1440888844,0
1440888844,0
1440888844,0
1440888844,0
1440888844,0
1440888844,0
1440888845,0
1440888846,0
1440888852,0
1440888852,0
1440888852,3/328
1440888852,3/328
1440888852,3/328
1440888852,3/328
1440888853,3/328
1440888854,3/328
1440888860,3/328
1440888860,3/328
1440888860,0
1440888860,0
1440888860,0
1440888860,0
1440888861,0
1440888862,0
1440888868,0
1440888868,0
1440888868,1/92
1440888868,1/92
1440888868,1/92
1440888868,1/92
1440888869,1/92
1440888870,1/92
1440888876,1/92
1440888876,1/92
1440888876,1/92
1440888876,1/92
1440888876,1/92
1440888876,3/176
1440888877,3/176
1440888878,3/176
1440888884,3/176
1440888884,3/176
1440888884,36/685
1440888884,36/685
1440888884,36/685
1440888884,36/685
1440888885,36/685
1440888886,36/685
1440888887,36/685
1440888892,36/685
1440888892,36/685
1440888892,0
1440888892,0
1440888892,0
1440888893,0
1440888894,0
1440888895,0
1440888902,0
1440888902,0
1440888902,0
1440888902,0
1440888902,0
1440888902,0
1440888902,0
1440888903,0
1440888904,0
1440888911,0
1440888911,0
1440888911,0
1440888911,0
1440888911,0
1440888911,0
1440888911,0
1440888912,0
1440888913,0
1440888914,0
1440888919,0
1440888919,0
1440888919,19/1987
1440888919,19/1987
1440888919,19/1987
1440888920,19/1987
1440888921,19/1987
1440888922,19/1987
1440888927,19/1987
1440888927,19/1987
1440888927,0
1440888927,0
1440888927,0
1440888928,0
1440888929,0
1440888930,0
1440888935,0
1440888935,0
1440888935,0
1440888935,0
1440888935,0
1440888936,0
1440888937,0
1440888938,0
1440888943,0
1440888943,0
1440888943,0
1440888943,0
1440888943,0
1440888944,0
1440888945,0
1440888946,0
1440888951,0
1440888951,0
1440888951,0
1440888951,0
1440888951,0
1440888952,0
1440888953,0
1440888959,0
1440888959,0
1440888959,12/1255
1440888959,12/1255
1440888959,12/1255
1440888959,12/1255
1440888960,12/1255
1440888961,12/1255
1440888967,12/1255
1440888967,12/1255
1440888967,12/1255
1440888967,12/1255
1440888967,12/1255
1440888967,0
1440888968,0
1440888969,0
1440888975,0
1440888975,0
1440888975,0
1440888975,0
1440888975,0
1440888975,0
1440888976,0
1440888982,0
1440888982,0
1440888982,0
1440888982,0
1440888982,0
1440888982,0
1440888983,0
1440888984,0
1440888990,0
1440888990,0
1440888990,7/715
1440888990,7/715
1440888990,7/715
1440888990,7/715
1440888991,7/715
1440888992,7/715
1440888997,7/715
1440888997,7/715
1440888997,11/890
1440888997,11/890
1440888997,11/890
1440888998,11/890
1440888999,11/890
1440889005,11/890
1440889005,11/890
1440889005,0
1440889005,0
1440889005,0
1440889005,0
1440889006,0
1440889007,0
1440889013,0
1440889013,0
1440889013,3/205
1440889013,3/205
1440889013,3/205
1440889013,3/205
1440889014,3/205
1440889015,3/205
1440889020,3/205
1440889020,3/205
1440889020,0
1440889020,0
1440889020,0
1440889021,0
1440889022,0
1440889028,0
1440889028,0
1440889028,16/707
1440889028,16/707
1440889028,16/707
1440889028,16/707
1440889029,16/707
1440889030,16/707
1440889036,16/707
1440889036,16/707
1440889036,4/361
1440889036,4/361
1440889036,4/361
1440889036,4/361
1440889037,4/361
1440889038,4/361
1440889043,4/361
1440889043,4/361
1440889043,32/1593
1440889043,32/1593
1440889043,32/1593
1440889044,32/1593
1440889045,32/1593
1440889046,32/1593
1440889051,32/1593
1440889051,32/1593
1440889051,0
1440889051,0
1440889051,0
1440889052,0
1440889053,0
1440889054,0
1440889059,0
1440889059,0
1440889059,0
1440889059,0
1440889059,0
1440889060,0
1440889061,0
1440889062,0
1440889067,0
1440889067,0
1440889067,0
1440889067,0
1440889067,2/141
1440889068,2/141
1440889069,2/141
1440889070,2/141
1440889075,2/141
1440889075,2/141
1440889075,0
1440889075,0
1440889075,0
1440889076,0
1440889077,0
1440889083,0
1440889083,0
1440889083,5/248
1440889083,5/248
1440889083,5/248
1440889083,5/248
1440889084,5/248
1440889085,5/248
1440889091,5/248
1440889091,5/248
1440889091,14/219
1440889091,14/219
1440889091,14/219
1440889091,14/219
1440889092,14/219
1440889093,14/219
1440889099,14/219
1440889099,14/219
1440889099,6/143
1440889099,6/143
1440889099,6/143
1440889099,6/143
1440889100,6/143
1440889101,6/143
1440889102,6/143
1440889107,6/143
1440889107,6/143
1440889107,4/103
1440889107,4/103
1440889107,4/103
1440889108,4/103
1440889109,4/103
1440889110,4/103
1440889116,4/103
1440889116,4/103
1440889116,4/103
1440889116,4/103
1440889116,0
1440889116,0
1440889117,0
1440889118,0
1440889119,0
1440889124,0
1440889124,0
1440889124,1/99
1440889124,1/99
1440889124,1/99
1440889125,1/99
1440889126,1/99
1440889127,1/99
1440889133,1/99
1440889133,1/99
1440889133,10/1081
1440889133,10/1081
1440889133,10/1081
1440889133,10/1081
1440889134,10/1081
1440889135,10/1081
1440889136,10/1081
1440889141,7/419
1440889141,7/419
1440889141,7/419
1440889141,7/419
1440889141,7/419
1440889142,7/419
1440889143,7/419
1440889144,7/419
1440889150,7/419
1440889150,7/419
1440889150,21/1118
1440889150,21/1118
1440889150,21/1118
1440889150,21/1118
1440889151,21/1118
1440889152,21/1118
1440889158,21/1118
1440889158,21/1118
1440889158,13/634
1440889158,13/634
1440889158,13/634
1440889158,13/634
1440889159,13/634
1440889160,13/634
1440889161,13/634
1440889167,13/634
1440889167,13/634
1440889167,9/1060
1440889167,9/1060
1440889167,9/1060
1440889167,9/1060
1440889168,9/1060
1440889169,9/1060
1440889170,9/1060
1440889176,9/1060
1440889176,9/1060
1440889176,3/316
1440889176,3/316
1440889176,3/316
1440889176,3/316
1440889177,3/316
1440889178,3/316
1440889179,3/316
1440889185,3/316
1440889185,3/316
1440889185,6/193
1440889185,6/193
1440889185,6/193
1440889185,6/193
1440889186,6/193
1440889187,6/193
1440889188,6/193
1440889193,6/193
1440889193,6/193
1440889193,11/1114
1440889193,11/1114
1440889193,11/1114
1440889194,11/1114
1440889195,11/1114
1440889196,11/1114
1440889202,11/1114
1440889202,11/1114
1440889202,11/1114
1440889202,11/1114
1440889202,11/1114
1440889202,12/1373
1440889203,12/1373
1440889204,12/1373
1440889205,12/1373
1440889211,12/1373
1440889211,12/1373
1440889211,0
1440889211,0
1440889211,0
1440889211,0
1440889212,0
1440889213,0
1440889214,0
1440889220,0
1440889220,0
1440889220,29/989
1440889220,29/989
1440889220,29/989
1440889220,29/989
1440889221,29/989
1440889222,29/989
1440889223,29/989
1440889229,29/989
1440889229,29/989
1440889229,20/1129
1440889229,20/1129
1440889229,20/1129
1440889229,20/1129
1440889230,20/1129
1440889231,20/1129
1440889232,20/1129
1440889238,20/1129
1440889238,20/1129
1440889238,22/1227
1440889238,22/1227
1440889238,22/1227
1440889238,22/1227
1440889239,22/1227
1440889240,22/1227
1440889241,22/1227
1440889247,22/1227
1440889247,22/1227
1440889247,22/1227
1440889247,22/1227
1440889247,22/1227
1440889247,2/235
1440889248,2/235
1440889249,2/235
1440889250,2/235
1440889256,2/235
1440889256,1/104
1440889256,1/104
1440889256,1/104
1440889256,1/104
1440889256,1/104
1440889257,1/104
1440889258,1/104
1440889259,1/104
1440889265,1/104
1440889265,1/104
1440889265,0
1440889265,0
1440889265,0
1440889265,0
1440889266,0
1440889267,0
1440889268,0
1440889269,0
1440889274,0
1440889274,0
1440889274,6/203
1440889274,6/203
1440889274,6/203
1440889275,6/203
1440889276,6/203
1440889277,6/203
1440889278,6/203
1440889283,6/203
1440889283,6/203
1440889283,19/1889
1440889283,19/1889
1440889283,19/1889
1440889284,19/1889
1440889285,19/1889
1440889286,19/1889
1440889292,19/1889
1440889292,19/1889
1440889292,7/747
1440889292,7/747
1440889292,7/747
1440889292,7/747
1440889293,7/747
1440889294,7/747
1440889295,7/747
1440889301,7/747
1440889301,7/747
1440889301,0
1440889301,0
1440889301,0
1440889301,0
1440889302,0
1440889303,0
1440889304,0
1440889310,0
1440889310,0
1440889310,0
1440889310,0
1440889310,0
1440889310,0
1440889311,0
1440889312,0
1440889313,0
1440889319,0
1440889319,0
1440889319,16/1847
1440889319,16/1847
1440889319,16/1847
1440889319,16/1847
1440889320,16/1847
1440889321,16/1847
1440889322,16/1847
1440889328,16/1847
1440889328,16/1847
1440889328,9/1045
1440889328,9/1045
1440889328,9/1045
1440889328,9/1045
1440889329,9/1045
1440889330,9/1045
1440889336,9/1045
1440889336,9/1045
1440889336,3/298
1440889336,3/298
1440889336,3/298
1440889336,3/298
1440889337,3/298
1440889338,3/298
1440889339,3/298
1440889345,3/298
1440889345,3/298
1440889345,10/303
1440889345,10/303
1440889345,10/303
1440889345,10/303
1440889346,10/303
1440889347,10/303
1440889353,10/303
1440889353,10/303
1440889353,10/303
1440889353,0
1440889353,0
1440889353,0
1440889354,0
1440889355,0
1440889361,0
1440889361,0
1440889361,0
1440889361,0
1440889361,0
1440889361,0
1440889362,0
1440889363,0
1440889364,0
1440889369,0
1440889369,0
1440889369,11/466
1440889369,11/466
1440889369,11/466
1440889370,11/466
1440889371,11/466
1440889372,11/466
1440889378,11/466
1440889378,11/466
1440889378,18/809
1440889378,18/809
1440889378,18/809
1440889378,18/809
1440889379,18/809
1440889380,18/809
1440889386,18/809
1440889386,18/809
1440889386,0
1440889386,0
1440889386,0
1440889386,0
1440889387,0
1440889388,0
1440889394,0
1440889394,0
1440889394,4/463
1440889394,4/463
1440889394,4/463
1440889394,4/463
1440889395,4/463
1440889396,4/463
1440889402,4/463
1440889402,4/463
1440889402,0
1440889402,0
1440889402,0
1440889402,0
1440889403,0
1440889404,0
1440889410,0
1440889410,0
1440889410,25/2721
1440889410,25/2721
1440889410,25/2721
1440889410,25/2721
1440889411,25/2721
1440889412,25/2721
1440889418,25/2721
1440889418,25/2721
1440889418,0
1440889418,0
1440889418,0
1440889418,0
1440889419,0
1440889420,0
1440889426,0
1440889426,0
1440889426,0
1440889426,0
1440889426,0
1440889426,0
1440889427,0
1440889428,0
1440889434,0
1440889434,0
1440889434,0
1440889434,0
1440889434,0
1440889434,0
1440889435,0
1440889436,0
1440889442,0
1440889442,0
1440889442,22/1139
1440889442,22/1139
1440889442,22/1139
1440889442,22/1139
1440889443,22/1139
1440889444,22/1139
1440889450,22/1139
1440889450,22/1139
1440889450,0
1440889450,0
1440889450,0
1440889450,0
1440889451,0
1440889452,0
1440889458,0
1440889458,0
1440889458,0
1440889458,0
1440889458,0
1440889458,0
1440889459,0
1440889460,0
1440889466,0
1440889466,0
1440889466,0
1440889466,0
1440889466,0
1440889466,0
1440889467,0
1440889468,0
1440889474,0
1440889474,0
1440889474,0
1440889474,0
1440889474,0
1440889474,16/1811
1440889475,16/1811
1440889481,16/1811
1440889481,16/1811
1440889481,0
1440889481,0
1440889481,0
1440889481,0
1440889482,0
1440889483,0
1440889489,0
1440889489,0
1440889489,0
1440889489,0
1440889489,0
1440889489,3/299
1440889490,3/299
1440889491,3/299
1440889496,1/134
1440889496,1/134
1440889496,1/134
1440889496,1/134
1440889496,1/134
1440889497,1/134
1440889498,1/134
1440889504,1/134
1440889504,1/134
1440889504,19/1769
1440889504,19/1769
1440889504,19/1769
1440889504,19/1769
1440889505,19/1769
1440889506,19/1769
1440889511,19/1769
1440889511,19/1769
1440889511,0
1440889511,0
1440889512,0
1440889512,0
1440889513,0
1440889519,0
1440889519,0
1440889519,11/1170
1440889519,11/1170
1440889519,11/1170
1440889519,11/1170
1440889520,11/1170
1440889521,11/1170
1440889527,11/1170
1440889527,11/1170
1440889527,13/1451
1440889527,13/1451
1440889527,13/1451
1440889527,13/1451
1440889528,13/1451
1440889529,13/1451
1440889535,13/1451
1440889535,13/1451
1440889535,68/1863
1440889535,68/1863
1440889535,68/1863
1440889535,68/1863
1440889536,68/1863
1440889537,68/1863
1440889543,68/1863
1440889543,68/1863
1440889543,14/733
1440889543,14/733
1440889543,14/733
1440889543,14/733
1440889544,14/733
1440889545,14/733
1440889551,14/733
1440889551,14/733
1440889551,18/973
1440889551,18/973
1440889551,18/973
1440889551,18/973
1440889552,18/973
1440889553,18/973
1440889559,18/973
1440889559,18/973
1440889559,46/2239
1440889559,46/2239
1440889559,46/2239
1440889559,46/2239
1440889560,46/2239
1440889561,46/2239
1440889562,46/2239
1440889568,46/2239
1440889568,46/2239
1440889568,12/1217
1440889568,12/1217
1440889568,12/1217
1440889568,12/1217
1440889569,12/1217
1440889570,12/1217
1440889576,12/1217
1440889576,12/1217
1440889576,0
1440889576,0
1440889576,0
1440889576,0
1440889577,0
1440889578,0
1440889579,0
1440889584,5/548
1440889584,5/548
1440889584,5/548
1440889584,5/548
1440889584,5/548
1440889585,5/548
1440889586,5/548
1440889587,5/548
1440889593,5/548
1440889593,5/548
1440889593,20/411
1440889593,20/411
1440889593,20/411
1440889593,20/411
1440889594,20/411
1440889595,20/411
1440889601,20/411
1440889601,20/411
1440889601,3/325
1440889601,3/325
1440889601,3/325
1440889601,3/325
1440889602,3/325
1440889603,3/325
1440889609,3/325
1440889609,3/325
1440889609,11/1190
1440889609,11/1190
1440889609,11/1190
1440889609,11/1190
1440889610,11/1190
1440889611,11/1190
1440889617,11/1190
1440889617,11/1190
1440889617,0
1440889617,0
1440889617,0
1440889617,0
1440889618,0
1440889619,0
1440889620,0
1440889626,0
1440889626,0
1440889626,0
1440889626,0
1440889626,0
1440889626,0
1440889627,0
1440889628,0
1440889634,0
1440889634,0
1440889634,18/1763
1440889634,18/1763
1440889634,18/1763
1440889634,18/1763
1440889635,18/1763
1440889636,18/1763
1440889642,18/1763
1440889642,18/1763
1440889642,18/1763
1440889642,18/1763
1440889642,18/1763
1440889642,0
1440889643,0
1440889644,0
1440889650,0
1440889650,0
1440889650,3/173
1440889650,3/173
1440889650,3/173
1440889650,3/173
1440889651,3/173
1440889652,3/173
1440889653,3/173
1440889659,3/173
1440889659,3/173
1440889659,3/274
1440889659,3/274
1440889659,3/274
1440889659,3/274
1440889660,3/274
1440889661,3/274
1440889667,3/274
1440889667,3/274
1440889667,26/1505
1440889667,26/1505
1440889667,26/1505
1440889667,26/1505
1440889668,26/1505
1440889669,26/1505
1440889675,26/1505
1440889675,26/1505
1440889675,0
1440889675,0
1440889675,0
1440889675,0
1440889676,0
1440889677,0
1440889683,0
1440889683,0
1440889683,0
1440889683,0
1440889683,0
1440889683,0
1440889684,0
1440889685,0
1440889686,0
1440889692,0
1440889692,0
1440889692,3/281
1440889692,3/281
1440889692,3/281
1440889692,3/281
1440889693,3/281
1440889694,3/281
1440889700,3/281
1440889700,3/281
1440889700,0
1440889700,0
1440889700,0
1440889700,0
1440889701,0
1440889702,0
1440889708,0
1440889708,0
1440889708,9/1004
1440889708,9/1004
1440889708,9/1004
1440889708,9/1004
1440889709,9/1004
1440889710,9/1004
1440889716,9/1004
1440889716,9/1004
1440889716,0
1440889716,0
1440889716,0
1440889716,0
1440889717,0
1440889718,0
1440889723,0
1440889723,0
1440889724,0
1440889724,0
1440889724,0
1440889724,0
1440889725,0
1440889731,0
1440889731,0
1440889731,3/298
1440889731,3/298
1440889731,3/298
1440889731,3/298
1440889732,3/298
1440889733,3/298
1440889739,3/298
1440889739,3/298
1440889739,17/1770
1440889739,17/1770
1440889739,17/1770
1440889739,17/1770
1440889740,17/1770
1440889741,17/1770
1440889747,17/1770
1440889747,17/1770
1440889747,0
1440889747,0
1440889747,0
1440889747,0
1440889748,0
1440889749,0
1440889755,0
1440889755,0
1440889755,17/698
1440889755,17/698
1440889755,17/698
1440889755,17/698
1440889756,17/698
1440889762,17/698
1440889762,17/698
1440889762,48/1435
1440889762,48/1435
1440889762,48/1435
1440889762,48/1435
1440889763,48/1435
1440889764,48/1435
1440889770,48/1435
1440889770,48/1435
1440889770,0
1440889770,0
1440889770,0
1440889770,0
1440889771,0
1440889772,0
1440889778,0
1440889778,0
1440889778,7/570
1440889778,7/570
1440889778,7/570
1440889778,7/570
1440889779,7/570
1440889780,7/570
1440889786,7/570
1440889786,7/570
1440889786,7/570
1440889786,7/570
1440889786,7/570
1440889786,0
1440889787,0
1440889793,0
1440889793,0
1440889793,13/1306
1440889793,13/1306
1440889793,13/1306
1440889793,13/1306
1440889794,13/1306
1440889795,13/1306
1440889801,13/1306
1440889801,13/1306
1440889801,13/1306
1440889801,13/1306
1440889801,13/1306
1440889801,5/148
1440889802,5/148
1440889803,5/148
1440889809,5/148
1440889809,5/148
1440889809,46/447
1440889809,46/447
1440889809,46/447
1440889809,46/447
1440889810,46/447
1440889811,46/447
1440889817,46/447
1440889817,46/447
1440889817,133/1640
1440889817,133/1640
1440889817,133/1640
1440889817,133/1640
1440889818,133/1640
1440889819,133/1640
1440889825,133/1640
1440889825,133/1640
1440889825,5/254
1440889825,5/254
1440889825,5/254
1440889825,5/254
1440889826,5/254
1440889827,5/254
1440889828,5/254
1440889834,5/254
1440889834,5/254
1440889834,29/256
1440889834,29/256
1440889834,29/256
1440889834,29/256
1440889835,29/256
1440889836,29/256
1440889842,29/256
1440889842,29/256
1440889842,57/1310
1440889842,57/1310
1440889842,57/1310
1440889842,57/1310
1440889843,57/1310
1440889844,57/1310
1440889845,57/1310
1440889851,57/1310
1440889851,57/1310
1440889851,4/271
1440889851,4/271
1440889851,4/271
1440889851,4/271
1440889852,4/271
1440889853,4/271
1440889859,4/271
1440889859,4/271
1440889859,15/116
1440889859,15/116
1440889859,15/116
1440889859,15/116
1440889860,15/116
1440889861,15/116
1440889862,15/116
1440889868,15/116
1440889868,15/116
1440889868,15/178
1440889868,15/178
1440889868,15/178
1440889868,15/178
1440889869,15/178
1440889870,15/178
1440889876,15/178
1440889876,15/178
1440889876,18/343
1440889876,18/343
1440889876,18/343
1440889876,18/343
1440889877,18/343
1440889878,18/343
1440889879,18/343
1440889885,18/343
1440889885,18/343
1440889885,18/343
1440889885,18/343
1440889885,18/343
1440889885,0
1440889886,0
1440889887,0
1440889888,0
1440889894,0
1440889894,0
1440889894,147/2066
1440889894,147/2066
1440889894,147/2066
1440889894,147/2066
1440889895,147/2066
1440889896,147/2066
1440889897,147/2066
1440889903,147/2066
1440889903,147/2066
1440889903,21/571
1440889903,21/571
1440889903,21/571
1440889903,21/571
1440889904,21/571
1440889905,21/571
1440889906,21/571
1440889912,21/571
1440889912,21/571
1440889912,60/1577
1440889912,60/1577
1440889912,60/1577
1440889912,60/1577
1440889913,60/1577
1440889914,60/1577
1440889915,60/1577
1440889921,60/1577
1440889921,60/1577
1440889921,60/1577
1440889921,60/1577
1440889921,60/1577
1440889921,1/24
1440889922,1/24
1440889923,1/24
1440889924,1/24
1440889930,1/24
1440889930,1/24
1440889930,0
1440889930,0
1440889930,0
1440889930,0
1440889931,0
1440889932,0
1440889933,0
1440889939,0
1440889939,0
1440889939,112/2377
1440889939,112/2377
1440889939,112/2377
1440889939,112/2377
1440889940,112/2377
1440889941,112/2377
1440889942,112/2377
1440889948,112/2377
1440889948,112/2377
1440889948,10/193
1440889948,10/193
1440889948,10/193
1440889948,10/193
1440889949,10/193
1440889950,10/193
1440889951,10/193
1440889957,10/193
1440889957,10/193
1440889957,80/1143
1440889957,80/1143
1440889957,80/1143
1440889957,80/1143
1440889958,80/1143
1440889959,80/1143
1440889960,80/1143
1440889966,80/1143
1440889966,80/1143
1440889966,80/1143
1440889966,70/429
1440889966,70/429
1440889966,70/429
1440889967,70/429
1440889968,70/429
1440889969,70/429
1440889975,70/429
1440889975,70/429
1440889975,70/429
1440889975,70/429
1440889975,370/743
1440889975,370/743
1440889976,370/743
1440889977,370/743
1440889978,370/743
1440889984,370/743
1440889984,370/743
1440889984,370/743
1440889984,945/3737
1440889984,945/3737
1440889984,945/3737
1440889985,945/3737
1440889986,945/3737
1440889987,945/3737
1440889993,945/3737
1440889993,945/3737
1440889993,85/696
1440889993,85/696
1440889993,85/696
1440889993,85/696
1440889994,85/696
1440889995,85/696
1440889996,85/696
1440890002,85/696
1440890002,85/696
1440890002,85/696
1440890002,85/696
1440890002,85/696
1440890002,168/2479
1440890003,168/2479
1440890004,168/2479
1440890005,168/2479
1440890011,168/2479
1440890011,168/2479
1440890011,8/387
1440890011,8/387
1440890011,8/387
1440890011,8/387
1440890012,8/387
1440890013,8/387
1440890014,8/387
1440890020,8/387
1440890020,8/387
1440890020,8/387
1440890020,8/387
1440890020,8/387
1440890020,8/323
1440890021,8/323
1440890022,8/323
1440890023,8/323
1440890024,8/323
1440890030,8/323
1440890030,8/323
1440890030,105/1457
1440890030,105/1457
1440890030,105/1457
1440890030,105/1457
1440890031,105/1457
1440890032,105/1457
1440890033,105/1457
1440890039,105/1457
1440890039,105/1457
1440890039,105/1457
1440890039,105/1457
1440890039,105/1457
1440890039,44/409
1440890040,44/409
1440890041,44/409
1440890042,44/409
1440890048,44/409
1440890048,44/409
1440890048,26/1151
1440890048,26/1151
1440890048,26/1151
1440890048,26/1151
1440890049,26/1151
1440890050,26/1151
1440890051,26/1151
1440890057,26/1151
1440890057,26/1151
1440890057,65/1188
1440890057,65/1188
1440890057,65/1188
1440890057,65/1188
1440890058,65/1188
1440890059,65/1188
1440890065,65/1188
1440890065,65/1188
1440890065,0
1440890065,0
1440890065,0
1440890065,0
1440890066,0
1440890067,0
1440890068,0
1440890074,0
1440890074,0
1440890074,64/663
1440890074,64/663
1440890074,64/663
1440890074,64/663
1440890075,64/663
1440890076,64/663
1440890077,64/663
1440890083,64/663
1440890083,64/663
1440890083,64/663
1440890083,64/663
1440890083,64/663
1440890083,34/735
1440890084,34/735
1440890085,34/735
1440890086,34/735
1440890092,34/735
1440890092,34/735
1440890092,28/1355
1440890092,28/1355
1440890092,28/1355
1440890092,28/1355
1440890093,28/1355
1440890094,28/1355
1440890100,28/1355
1440890100,28/1355
1440890100,0
1440890100,0
1440890100,0
1440890100,0
1440890101,0
1440890102,0
1440890103,0
1440890109,0
1440890109,0
1440890109,6/71
1440890109,6/71
1440890109,6/71
1440890109,6/71
1440890110,6/71
1440890111,6/71
1440890112,6/71
1440890118,6/71
1440890118,6/71
1440890118,56/1499
1440890118,56/1499
1440890118,56/1499
1440890118,56/1499
1440890119,56/1499
1440890120,56/1499
1440890121,56/1499
1440890127,56/1499
1440890127,56/1499
1440890127,56/1499
