t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1440882406,1,0.009783,0.041058,0.145715,0.179965,events/second
1440882407,1,0.009688,0.041058,0.145715,0.179965,events/second
1440882408,1,0.009595,0.041058,0.145715,0.179965,events/second
1440882409,1,0.009504,0.037775,0.143306,0.178968,events/second
1440882410,1,0.009409,0.037775,0.143306,0.178968,events/second
1440882411,1,0.009327,0.037775,0.143306,0.178968,events/second
1440882412,1,0.009241,0.037775,0.143306,0.178968,events/second
1440882413,1,0.009156,0.037775,0.143306,0.178968,events/second
1440882414,1,0.009073,0.034755,0.140938,0.177976,events/second
1440882415,1,0.008991,0.034755,0.140938,0.177976,events/second
1440882416,1,0.008911,0.034755,0.140938,0.177976,events/second
1440882417,1,0.008832,0.034755,0.140938,0.177976,events/second
1440882418,1,0.008754,0.034755,0.140938,0.177976,events/second
1440882419,1,0.008678,0.031976,0.138608,0.176990,events/second
1440882420,1,0.008605,0.031976,0.138608,0.176990,events/second
1440882421,1,0.008531,0.031976,0.138608,0.176990,events/second
1440882422,1,0.008459,0.031976,0.138608,0.176990,events/second
1440882423,1,0.008388,0.031976,0.138608,0.176990,events/second
1440882424,1,0.008318,0.029419,0.136317,0.176010,events/second
1440882425,1,0.008249,0.029419,0.136317,0.176010,events/second
1440882426,1,0.008182,0.029419,0.136317,0.176010,events/second
1440882427,1,0.008116,0.029419,0.136317,0.176010,events/second
1440882428,1,0.008050,0.029419,0.136317,0.176010,events/second
1440882429,1,0.007986,0.027067,0.134064,0.175035,events/second
1440882430,1,0.007923,0.027067,0.134064,0.175035,events/second
1440882431,1,0.007860,0.027067,0.134064,0.175035,events/second
1440882432,1,0.007799,0.027067,0.134064,0.175035,events/second
1440882433,1,0.007739,0.027067,0.134064,0.175035,events/second
1440882434,1,0.007679,0.024903,0.131848,0.174065,events/second
1440882435,1,0.007621,0.024903,0.131848,0.174065,events/second
1440882436,1,0.007563,0.024903,0.131848,0.174065,events/second
1440882437,1,0.007506,0.024903,0.131848,0.174065,events/second
1440882438,1,0.007451,0.024903,0.131848,0.174065,events/second
1440882439,1,0.007395,0.022912,0.129669,0.173101,events/second
1440882440,1,0.007341,0.022912,0.129669,0.173101,events/second
1440882441,1,0.007287,0.022912,0.129669,0.173101,events/second
1440882442,1,0.007235,0.022912,0.129669,0.173101,events/second
1440882443,1,0.007183,0.022912,0.129669,0.173101,events/second
1440882444,1,0.007132,0.021080,0.127526,0.172142,events/second
1440882445,1,0.007081,0.021080,0.127526,0.172142,events/second
1440882446,1,0.007031,0.021080,0.127526,0.172142,events/second
1440882447,1,0.006982,0.021080,0.127526,0.172142,events/second
1440882448,1,0.006934,0.021080,0.127526,0.172142,events/second
1440882449,1,0.006886,0.019394,0.125418,0.171188,events/second
1440882450,1,0.006839,0.019394,0.125418,0.171188,events/second
1440882451,1,0.006793,0.019394,0.125418,0.171188,events/second
1440882452,1,0.006747,0.019394,0.125418,0.171188,events/second
1440882453,1,0.006701,0.019394,0.125418,0.171188,events/second
1440882454,1,0.006657,0.017844,0.123345,0.170239,events/second
1440882455,1,0.006613,0.017844,0.123345,0.170239,events/second
1440882456,1,0.006569,0.017844,0.123345,0.170239,events/second
1440882457,1,0.006527,0.017844,0.123345,0.170239,events/second
1440882458,1,0.006484,0.017844,0.123345,0.170239,events/second
1440882459,1,0.006442,0.016417,0.121306,0.169296,events/second
1440882460,1,0.006401,0.016417,0.121306,0.169296,events/second
1440882461,1,0.006361,0.016417,0.121306,0.169296,events/second
1440882462,1,0.006320,0.016417,0.121306,0.169296,events/second
1440882463,1,0.006281,0.016417,0.121306,0.169296,events/second
1440882464,1,0.006241,0.015104,0.119301,0.168358,events/second
1440882465,1,0.006203,0.015104,0.119301,0.168358,events/second
1440882466,1,0.006165,0.015104,0.119301,0.168358,events/second
1440882467,1,0.006127,0.015104,0.119301,0.168358,events/second
1440882468,1,0.006089,0.015104,0.119301,0.168358,events/second
1440882469,1,0.006053,0.013897,0.117329,0.167426,events/second
1440882470,1,0.006014,0.013897,0.117329,0.167426,events/second
1440882471,1,0.005980,0.013897,0.117329,0.167426,events/second
1440882472,1,0.005945,0.013897,0.117329,0.167426,events/second
1440882473,1,0.005910,0.013897,0.117329,0.167426,events/second
1440882474,1,0.005875,0.012786,0.115390,0.166498,events/second
1440882475,1,0.005841,0.012786,0.115390,0.166498,events/second
1440882476,1,0.005806,0.012786,0.115390,0.166498,events/second
1440882477,1,0.005773,0.012786,0.115390,0.166498,events/second
1440882478,1,0.005740,0.012786,0.115390,0.166498,events/second
1440882479,1,0.005707,0.011763,0.113483,0.165576,events/second
1440882480,1,0.005675,0.011763,0.113483,0.165576,events/second
1440882481,1,0.005643,0.011763,0.113483,0.165576,events/second
1440882482,1,0.005611,0.011763,0.113483,0.165576,events/second
1440882483,1,0.005580,0.011763,0.113483,0.165576,events/second
1440882484,1,0.005549,0.010823,0.111607,0.164658,events/second
1440882485,1,0.005518,0.010823,0.111607,0.164658,events/second
1440882486,1,0.005488,0.010823,0.111607,0.164658,events/second
1440882487,1,0.005458,0.010823,0.111607,0.164658,events/second
1440882488,1,0.005428,0.010823,0.111607,0.164658,events/second
1440882489,1,0.005399,0.009957,0.109762,0.163746,events/second
1440882490,1,0.005369,0.009957,0.109762,0.163746,events/second
1440882491,1,0.005341,0.009957,0.109762,0.163746,events/second
1440882492,1,0.005313,0.009957,0.109762,0.163746,events/second
1440882493,1,0.005285,0.009957,0.109762,0.163746,events/second
1440882494,1,0.005257,0.009161,0.107948,0.162839,events/second
1440882495,1,0.005230,0.009161,0.107948,0.162839,events/second
1440882496,1,0.005202,0.009161,0.107948,0.162839,events/second
1440882497,1,0.005175,0.009161,0.107948,0.162839,events/second
1440882498,1,0.005149,0.009161,0.107948,0.162839,events/second
1440882499,1,0.005122,0.008429,0.106164,0.161937,events/second
1440882500,1,0.005096,0.008429,0.106164,0.161937,events/second
1440882501,1,0.005070,0.008429,0.106164,0.161937,events/second
1440882502,1,0.005045,0.008429,0.106164,0.161937,events/second
1440882503,1,0.005019,0.008429,0.106164,0.161937,events/second
1440882504,1,0.004995,0.007755,0.104409,0.161040,events/second
1440882505,1,0.004970,0.007755,0.104409,0.161040,events/second
1440882506,1,0.004945,0.007755,0.104409,0.161040,events/second
1440882507,1,0.004921,0.007755,0.104409,0.161040,events/second
1440882508,1,0.004897,0.007755,0.104409,0.161040,events/second
1440882509,1,0.004873,0.007135,0.102683,0.160147,events/second
1440882510,1,0.004847,0.007135,0.102683,0.160147,events/second
1440882511,1,0.004826,0.007135,0.102683,0.160147,events/second
1440882512,1,0.004803,0.007135,0.102683,0.160147,events/second
1440882513,1,0.004780,0.007135,0.102683,0.160147,events/second
1440882514,1,0.004757,0.006564,0.100986,0.159260,events/second
1440882515,1,0.004734,0.006564,0.100986,0.159260,events/second
1440882517,1,0.004685,0.006564,0.100986,0.159260,events/second
1440882517,1,0.004685,0.006564,0.100986,0.159260,events/second
1440882518,1,0.004668,0.006564,0.100986,0.159260,events/second
1440882519,1,0.004646,0.006039,0.099317,0.158378,events/second
1440882520,1,0.004625,0.006039,0.099317,0.158378,events/second
1440882521,1,0.004604,0.006039,0.099317,0.158378,events/second
1440882522,1,0.004583,0.006039,0.099317,0.158378,events/second
1440882523,1,0.004562,0.006039,0.099317,0.158378,events/second
1440882524,1,0.004541,0.005557,0.097675,0.157500,events/second
1440882525,1,0.004520,0.005557,0.097675,0.157500,events/second
1440882526,1,0.004500,0.005557,0.097675,0.157500,events/second
1440882527,1,0.004480,0.005557,0.097675,0.157500,events/second
1440882528,1,0.004460,0.005557,0.097675,0.157500,events/second
1440882529,1,0.004440,0.005112,0.096061,0.156628,events/second
1440882530,1,0.004421,0.005112,0.096061,0.156628,events/second
1440882531,1,0.004401,0.005112,0.096061,0.156628,events/second
1440882532,1,0.004382,0.005112,0.096061,0.156628,events/second
1440882533,1,0.004363,0.005112,0.096061,0.156628,events/second
1440882534,1,0.004344,0.004704,0.094473,0.155760,events/second
