season	week	team	player	timestamp	reversed	nullified	file
2015	3	OAK	Andre Holmes	1443377003030	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	PHI	Ryan Mathews	1443377379216	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	TB	Charles Sims	1443377477449	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	ATL	Devonta Freeman	1443377494496	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	TEN	Kendall Wright	1443377909077	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	CIN	Tyler Eifert	1443378008103	TRUE	FALSE	tweets.2015-09-27.17_19.json
2015	3	SD	Keenan Allen	1443378032843	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	PHI	Darren Sproles	1443378073114	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	DAL	Joseph Randle	1443378119900	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	NE	Danny Amendola	1443378173940	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	OAK	Seth Roberts	1443378343671	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	NYJ	Brandon Marshall	1443378787295	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	NO	Marcus Murphy	1443379383730	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	MIN	Adrian Peterson	1443379481217	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	TEN	Antonio Andrews	1443379895105	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	CAR	Greg Olsen	1443379985480	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	TEN	Dorial Green-Beckham	1443380260772	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	NE	LeGarrette Blount	1443380435499	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	BAL	Steve Smith	1443380451144	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	ATL	Julio Jones	1443380713734	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	MIN	Zach Line	1443380953218	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	JAC	Allen Hurns	1443380983300	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	TB	Vincent Jackson	1443381148199	TRUE	FALSE	tweets.2015-09-27.17_19.json
2015	3	NE	Keshawn Martin	1443381451735	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	CLE	Gary Barnidge	1443381616707	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	SD	Chad Greenway	1443381952143	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	NE	LeGarrette Blount	1443382092352	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	ATL	Devonta Freeman	1443382124882	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	OAK	Latavius Murray	1443382281960	FALSE	FALSE	tweets.2015-09-27.17_19.json
2015	3	CAR	Cam Newton	1443382620566	FALSE	FALSE	tweets.2015-09-27.17_19.json
