"t.bucket","td.sum","rt.sum"
1418607815000,10,21
1418607820000,9,22
1418607825000,4,11
1418607830000,12,16
1418607835000,7,13
1418607840000,10,12
1418607845000,10,12
1418607850000,14,23
1418607855000,7,14
1418607860000,18,24
1418607865000,14,20
1418607870000,7,12
1418607875000,9,14
1418607880000,5,17
1418607885000,9,17
1418607890000,7,10
1418607895000,12,16
1418607900000,9,14
1418607905000,8,9
1418607910000,9,17
1418607915000,5,9
1418607920000,7,9
1418607925000,14,14
1418607930000,7,11
1418607935000,8,11
1418607940000,5,11
1418607945000,3,5
1418607950000,6,8
1418607955000,6,5
1418607960000,2,9
1418607965000,5,7
1418607970000,7,6
1418607975000,2,10
1418607980000,6,7
1418607985000,3,3
1418607990000,8,11
1418607995000,3,6
1.418608e+12,7,6
1418608005000,11,5
1418608010000,3,6
1418608015000,10,12
1418608020000,12,13
1418608025000,18,12
1418608030000,6,8
1418608035000,13,13
1418608040000,4,8
1418608045000,6,10
1418608050000,11,7
1418608055000,5,10
1418608060000,11,7
1418608065000,12,16
1418608070000,4,12
1418608075000,5,7
1418608080000,9,9
1418608085000,5,5
1418608090000,2,5
1418608095000,3,6
1418608100000,0,4
1418608105000,2,7
1418608110000,3,9
1418608115000,4,2
1418608120000,3,5
1418608125000,1,8
1418608130000,2,4
1418608135000,4,4
1418608140000,3,3
1418608145000,1,1
1418608150000,1,8
1418608155000,2,6
1418608160000,5,4
1418608165000,5,4
1418608170000,4,7
1418608175000,4,5
1418608180000,3,9
1418608185000,1,4
1418608190000,5,11
1418608195000,2,8
1418608200000,3,12
1418608205000,3,7
1418608210000,2,3
1418608215000,1,6
1418608220000,1,1
1418608225000,2,7
1418608230000,4,4
1418608235000,1,4
1418608240000,2,5
1418608245000,2,6
1418608250000,3,5
1418608255000,3,9
1418608260000,5,15
1418608265000,5,9
1418608270000,3,6
1418608275000,0,3
1418608280000,1,2
1418608285000,1,4
1418608290000,0,0
1418608295000,4,8
1418608300000,1,3
1418608305000,1,5
1418608310000,5,9
1418608315000,1,4
1418608320000,4,9
1418608325000,1,2
1418608330000,2,4
1418608335000,1,3
1418608340000,1,2
1418608345000,2,6
1418608350000,2,5
1418608355000,2,4
1418608360000,0,3
1418608365000,5,4
1418608370000,5,6
1418608375000,3,5
1418608380000,5,7
1418608385000,9,5
1418608390000,3,5
1418608395000,1,1
1418608400000,3,5
1418608405000,2,5
1418608410000,3,3
1418608415000,2,4
1418608420000,4,7
1418608425000,0,1
1418608430000,4,7
1418608435000,6,9
1418608440000,4,4
1418608445000,4,9
1418608450000,4,9
1418608455000,3,7
1418608460000,4,11
1418608465000,2,13
1418608470000,4,7
1418608475000,0,4
1418608480000,4,11
1418608485000,6,8
1418608490000,2,7
1418608495000,1,3
1418608500000,2,7
1418608505000,2,4
1418608510000,3,5
1418608515000,2,4
1418608520000,1,4
1418608525000,2,5
1418608530000,2,6
1418608535000,1,3
1418608540000,0,6
1418608545000,3,5
1418608550000,1,7
1418608555000,2,8
1418608560000,1,4
1418608565000,3,8
1418608570000,1,5
1418608575000,1,2
1418608580000,5,5
1418608585000,0,7
1418608590000,4,4
